GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,av1,ap1,av2,ap2,av3,ap3,av4,ap4,av5,ap5,av6,ap6,av7,ap7,av8,ap8,av9,ap9,av10,ap10,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B.1,B.2,B.3,B.4,B.5
211,96,0.2,3,Symm,5,59,0.5,-19,-,1,0,0,3,0.8,94,0.0125,95,0.05,96,0.075,97,0.05,98,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.5,59,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43166667,0.435,0.403333333,0.358333333,0.328333333
212,-9,1,-9,-,1,-6,0.99,-36,Symm,9,0,0,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36,0.01,-10,0.003867188,-9,0.0309375,-8,0.10828125,-7,0.2165625,-6,0.270703125,-5,0.2165625,-4,0.10828125,-3,0.0309375,-2,0.003867188,0.75,0.86833333,0.928333333,0.926666667,0.948333333
213,1,1,1,-,1,27,0.05,1,-,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.95,27,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.94833333,0.953333333,0.95,0.971666667
214,3,1,3,-,1,74,0.2,-20,-,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,0.8,74,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.145,0.183333333,0.17,0.161666667
215,32,0.5,14,-,1,17,0.99,16,Symm,5,0,0,14,0.5,32,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.061875,16,0.2575,17,0.37125,18,0.2475,19,0.061875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13166667,0.09833333,0.121666667,0.096666667,0.106666667
216,53,0.05,-12,R-skew,7,-9,1,-9,-,1,0,0,-12,0.95,47,0.025,49,0.0125,53,0.00625,61,0.003125,77,0.0015625,109,0.00078125,173,0.00078125,NA,NA,NA,NA,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41333333,0.45666667,0.516666667,0.53,0.551666667
217,-6,1,-6,Symm,9,93,0.2,-35,L-skew,3,0,0,-10,0.00390625,-9,0.03125,-8,0.109375,-7,0.21875,-6,0.2734375,-5,0.21875,-4,0.109375,-3,0.03125,-2,0.00390625,NA,NA,-35,0.8,89,0.05,93,0.05,95,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40166667,0.33666667,0.336666667,0.308333333,0.275
218,12,1,12,-,1,83,0.2,-13,-,1,0,0,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,0.8,83,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19166667,0.17333333,0.216666667,0.208333333,0.171666667
219,14,0.8,13,-,1,32,0.05,12,Symm,7,0,-1,13,0.2,14,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.95,29,0.00078125,30,0.0046875,31,0.01171875,32,0.015625,33,0.01171875,34,0.0046875,35,0.00078125,NA,NA,NA,NA,0.59,0.51166667,0.46,0.453333333,0.43
220,-8,1,-8,-,1,-8,1,-8,R-skew,7,0,0,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,0.5,-12,0.25,-8,0.125,0,0.0625,16,0.03125,48,0.015625,112,0.015625,NA,NA,NA,NA,NA,NA,0.49,0.49,0.485,0.456666667,0.47
221,47,0.4,-11,-,1,21,0.4,1,R-skew,7,0,1,-11,0.6,47,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6,15,0.2,17,0.1,21,0.05,29,0.025,45,0.0125,77,0.00625,141,0.00625,NA,NA,NA,NA,0.72333333,0.70166667,0.658333333,0.633333333,0.626666667
222,61,0.2,-13,L-skew,4,53,0.4,-43,L-skew,3,0,0,-13,0.8,50,0.025,58,0.025,62,0.05,64,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.6,49,0.1,53,0.1,55,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.31,0.348333333,0.306666667,0.321666667
223,3,1,3,-,1,68,0.01,-1,-,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.99,68,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14333333,0.10666667,0.138333333,0.131666667,0.121666667
224,56,0.5,0,-,1,41,0.6,5,-,1,0,0,0,0.5,56,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.4,41,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64833333,0.58833333,0.545,0.528333333,0.533333333
225,8,0.99,5,R-skew,3,8,1,8,Symm,5,0,0,5,0.01,6,0.495,8,0.2475,12,0.2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.0625,7,0.25,8,0.375,9,0.25,10,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.405,0.486666667,0.511666667,0.49
226,23,1,23,-,1,242,0.1,2,-,1,0,0,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.9,242,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37333333,0.38666667,0.378333333,0.401666667,0.38
227,19,1,19,-,1,26,0.8,-19,-,1,1,0,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.2,26,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16166667,0.30833333,0.548333333,0.576666667,0.573333333
228,0,1,0,-,1,7,0.05,-2,Symm,7,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0.95,4,0.00078125,5,0.0046875,6,0.01171875,7,0.015625,8,0.01171875,9,0.0046875,10,0.00078125,NA,NA,NA,NA,0.29666667,0.175,0.115,0.101666667,0.095
229,2,1,2,-,1,0,0.99,-3,R-skew,4,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,0.505,-1,0.2475,3,0.12375,11,0.12375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40666667,0.33333333,0.308333333,0.241666667,0.228333333
230,24,0.75,20,-,1,17,0.95,7,-,1,0,0,20,0.25,24,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.05,17,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12166667,0.03,0.016666667,0.005,0.005
231,22,0.75,10,-,1,29,0.75,-3,-,1,0,0,10,0.25,22,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,0.25,29,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25666667,0.37833333,0.453333333,0.523333333,0.518333333
232,25,0.4,5,Symm,9,46,0.01,8,Symm,7,0,0,5,0.6,21,0.0015625,22,0.0125,23,0.04375,24,0.0875,25,0.109375,26,0.0875,27,0.04375,28,0.0125,29,0.0015625,8,0.99,43,0.00015625,44,0.0009375,45,0.00234375,46,0.003125,47,0.00234375,48,0.0009375,49,0.00015625,NA,NA,NA,NA,0.46166667,0.36666667,0.295,0.298333333,0.288333333
233,18,1,18,-,1,34,0.1,19,-,1,0,0,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.9,34,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86666667,0.945,0.981666667,0.99,0.988333333
234,-8,1,-8,-,1,47,0.25,-17,-,1,1,0,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0.75,47,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.695,0.635,0.566666667,0.505,0.56
235,-8,1,-8,-,1,-8,0.6,-19,L-skew,4,0,0,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.475,-11,0.075,-7,0.15,-5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20833333,0.21,0.181666667,0.171666667,0.14
236,15,1,15,-,1,43,0.01,7,Symm,3,0,0,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.99,42,0.0025,43,0.005,44,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,0.12166667,0.088333333,0.081666667,0.061666667
237,20,0.6,10,L-skew,2,75,0.5,-49,-,1,1,0,10,0.4,19,0.3,21,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49,0.5,75,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11666667,0.23,0.328333333,0.31,0.328333333
238,31,0.05,2,Symm,9,28,0.05,14,-,1,1,0,2,0.95,27,0.000195313,28,0.0015625,29,0.00546875,30,0.0109375,31,0.013671875,32,0.0109375,33,0.00546875,34,0.0015625,35,0.000195313,14,0.95,28,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86166667,0.945,0.951666667,0.963333333,0.95
239,34,0.1,30,L-skew,5,35,0.95,-1,Symm,9,1,0,8,0.00625,24,0.00625,30,0.9,32,0.0125,36,0.025,38,0.05,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.05,31,0.003710938,32,0.0296875,33,0.10390625,34,0.2078125,35,0.259765625,36,0.2078125,37,0.10390625,38,0.0296875,39,0.003710938,0.26166667,0.48,0.766666667,0.808333333,0.82
240,19,1,19,-,1,58,0.01,16,L-skew,2,0,0,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.99,57,0.005,59,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45833333,0.38166667,0.346666667,0.323333333,0.316666667
241,17,1,17,-,1,104,0.4,-42,R-skew,7,0,0,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42,0.6,98,0.2,100,0.1,104,0.05,112,0.025,128,0.0125,160,0.00625,224,0.00625,NA,NA,NA,NA,0.28666667,0.37333333,0.433333333,0.458333333,0.456666667
242,23,1,23,-,1,40,0.25,17,-,1,0,0,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.75,40,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55666667,0.58333333,0.56,0.505,0.5
243,42,0.4,4,R-skew,3,19,1,19,R-skew,4,1,0,4,0.6,40,0.2,42,0.1,46,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.5,18,0.25,22,0.125,30,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59333333,0.63166667,0.583333333,0.605,0.555
244,-8,1,-8,-,1,-7,0.9,-29,-,1,0,0,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29,0.1,-7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28166667,0.37,0.343333333,0.34,0.348333333
245,24,1,24,-,1,71,0.1,16,-,1,0,0,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.9,71,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34166667,0.32,0.361666667,0.383333333,0.39
246,8,1,8,-,1,3,0.99,-28,-,1,0,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28,0.01,3,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.01833333,0.011666667,0.006666667,0.005
247,26,1,26,-,1,22,0.9,-9,-,1,0,0,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,0.1,22,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03666667,0.01333333,0.008333333,0.01,0.011666667
248,-10,1,-10,-,1,-6,0.25,-19,Symm,3,0,0,-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.75,-7,0.0625,-6,0.125,-5,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23333333,0.19833333,0.183333333,0.153333333,0.12
249,18,0.75,7,-,1,16,0.8,9,-,1,0,0,7,0.25,18,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.2,16,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.30666667,0.225,0.23,0.221666667
250,19,1,19,L-skew,4,78,0.1,13,-,1,0,0,8,0.125,16,0.125,20,0.25,22,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.9,78,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44833333,0.37833333,0.446666667,0.435,0.436666667
251,-5,1,-5,-,1,138,0.2,-35,-,1,0,0,-5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,0.8,138,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35333333,0.36833333,0.415,0.383333333,0.323333333
252,29,1,29,-,1,79,0.1,17,L-skew,4,0,0,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.9,68,0.0125,76,0.0125,80,0.025,82,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.38,0.37,0.335,0.318333333
253,219,0.05,-21,Symm,5,-4,0.75,-15,L-skew,5,0,0,-21,0.95,217,0.003125,218,0.0125,219,0.01875,220,0.0125,221,0.003125,NA,NA,NA,NA,NA,NA,NA,NA,-30,0.046875,-15,0.25,-14,0.046875,-6,0.09375,-2,0.1875,0,0.375,NA,NA,NA,NA,NA,NA,NA,NA,0.48333333,0.59833333,0.666666667,0.68,0.72
254,78,0.2,17,Symm,3,214,0.25,-34,-,1,0,0,17,0.8,77,0.05,78,0.1,79,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34,0.75,214,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23833333,0.26833333,0.278333333,0.25,0.218333333
255,0,1,0,-,1,-7,0.8,-15,-,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,0.2,-7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.02333333,0.011666667,0.008333333,0.008333333
256,1,1,1,-,1,74,0.05,4,-,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.95,74,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92666667,0.95,0.97,0.973333333,0.97
257,34,0.8,-21,Symm,3,48,0.4,4,-,1,0,0,-21,0.2,33,0.2,34,0.4,35,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.6,48,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65833333,0.58166667,0.543333333,0.531666667,0.57
258,1,1,1,-,1,13,0.4,-3,-,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,0.6,13,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49833333,0.53333333,0.595,0.608333333,0.583333333
259,3,0.95,-8,Symm,5,67,0.2,-13,Symm,7,1,0,-8,0.05,1,0.059375,2,0.2375,3,0.35625,4,0.2375,5,0.059375,NA,NA,NA,NA,NA,NA,NA,NA,-13,0.8,64,0.003125,65,0.01875,66,0.046875,67,0.0625,68,0.046875,69,0.01875,70,0.003125,NA,NA,NA,NA,0.64166667,0.52,0.435,0.373333333,0.375
260,82,0.2,-29,-,1,-7,0.99,-10,-,1,0,0,-29,0.8,82,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,0.01,-7,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60833333,0.67833333,0.663333333,0.636666667,0.663333333
261,28,1,28,-,1,69,0.4,3,Symm,3,0,0,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.6,68,0.1,69,0.2,70,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.48833333,0.508333333,0.508333333,0.486666667
262,55,0.05,9,L-skew,3,23,0.8,-17,Symm,5,0,0,9,0.95,51,0.0125,55,0.0125,57,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0.2,21,0.05,22,0.2,23,0.3,24,0.2,25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,0.37166667,0.50333333,0.58,0.625,0.593333333
263,103,0.01,9,-,1,29,0.75,-44,-,1,1,0,9,0.99,103,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44,0.25,29,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.30166667,0.45,0.466666667,0.47
264,26,0.75,-9,R-skew,3,82,0.01,13,Symm,9,0,0,-9,0.25,24,0.375,26,0.1875,30,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.99,78,3.91E-05,79,0.0003125,80,0.00109375,81,0.0021875,82,0.002734375,83,0.0021875,84,0.00109375,85,0.0003125,86,3.91E-05,0.60333333,0.47,0.423333333,0.388333333,0.361666667
265,30,0.4,13,R-skew,2,146,0.25,-25,Symm,5,0,1,13,0.6,29,0.2,31,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,0.75,144,0.015625,145,0.0625,146,0.09375,147,0.0625,148,0.015625,NA,NA,NA,NA,NA,NA,NA,NA,0.20166667,0.275,0.278333333,0.305,0.26
266,-2,1,-2,-,1,11,0.5,-12,-,1,0,0,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,0.5,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.71166667,0.685,0.678333333,0.663333333
267,-7,1,-7,-,1,-6,0.75,-19,R-skew,5,0,0,-7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.25,-10,0.375,-8,0.1875,-4,0.09375,4,0.046875,20,0.046875,NA,NA,NA,NA,NA,NA,NA,NA,0.28833333,0.28,0.305,0.273333333,0.251666667
268,16,1,16,-,1,23,0.8,-15,R-skew,3,0,0,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,0.2,21,0.4,23,0.2,27,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.62,0.641666667,0.616666667,0.571666667
269,-3,1,-3,-,1,149,0.2,-34,-,1,0,0,-3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34,0.8,149,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355,0.33166667,0.345,0.34,0.328333333
270,62,0.25,-18,-,1,-5,0.9,-23,-,1,0,0,-18,0.75,62,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23,0.1,-5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41166667,0.41833333,0.431666667,0.461666667,0.498333333
